date,country,country_code,gdp_growth_quarterly
2015-01-01,Croatia,HR,0.9
2015-04-01,Croatia,HR,0.6
2015-07-01,Croatia,HR,1.7
2015-10-01,Croatia,HR,-1.5
2016-01-01,Croatia,HR,3.7
2016-04-01,Croatia,HR,-0.7
2016-07-01,Croatia,HR,0.5
2016-10-01,Croatia,HR,1.3
2017-01-01,Croatia,HR,1.2
2017-04-01,Croatia,HR,0.3
2017-07-01,Croatia,HR,1.2
2017-10-01,Croatia,HR,0.3
2018-01-01,Croatia,HR,0.3
2018-04-01,Croatia,HR,1.9
2018-07-01,Croatia,HR,0.3
2018-10-01,Croatia,HR,0.4
2019-01-01,Croatia,HR,2.0
2019-04-01,Croatia,HR,0.5
2019-07-01,Croatia,HR,-0.2
2019-10-01,Croatia,HR,-0.4
2020-01-01,Croatia,HR,-1.4
2020-04-01,Croatia,HR,-13.9
2020-07-01,Croatia,HR,5.1
2020-10-01,Croatia,HR,8.2
2021-01-01,Croatia,HR,5.8
2021-04-01,Croatia,HR,-0.5
2021-07-01,Croatia,HR,2.0
2021-10-01,Croatia,HR,3.2
2022-01-01,Croatia,HR,3.0
2022-04-01,Croatia,HR,0.9
2022-07-01,Croatia,HR,0.8
2022-10-01,Croatia,HR,-1.1
2023-01-01,Croatia,HR,2.0
2023-04-01,Croatia,HR,1.9
2023-07-01,Croatia,HR,0.1
2023-10-01,Croatia,HR,1.7
2024-01-01,Croatia,HR,0.4
2024-04-01,Croatia,HR,1.1
2024-07-01,Croatia,HR,1.1
2024-10-01,Croatia,HR,0.8
2025-01-01,Croatia,HR,0.5
2025-04-01,Croatia,HR,0.9
2025-07-01,Croatia,HR,0.4
2025-10-01,Croatia,HR,1.4
2015-01-01,France,FR,0.6
2015-04-01,France,FR,0.1
2015-07-01,France,FR,0.3
2015-10-01,France,FR,0.2
2016-01-01,France,FR,0.3
2016-04-01,France,FR,-0.2
2016-07-01,France,FR,0.1
2016-10-01,France,FR,0.6
2017-01-01,France,FR,0.7
2017-04-01,France,FR,0.8
2017-07-01,France,FR,0.7
2017-10-01,France,FR,0.6
2018-01-01,France,FR,0.0
2018-04-01,France,FR,0.3
2018-07-01,France,FR,0.5
2018-10-01,France,FR,0.7
2019-01-01,France,FR,0.9
2019-04-01,France,FR,0.6
2019-07-01,France,FR,0.0
2019-10-01,France,FR,-0.5
2020-01-01,France,FR,-5.0
2020-04-01,France,FR,-12.2
2020-07-01,France,FR,15.4
2020-10-01,France,FR,-0.1
2021-01-01,France,FR,0.4
2021-04-01,France,FR,1.2
2021-07-01,France,FR,3.0
2021-10-01,France,FR,0.5
2022-01-01,France,FR,-0.1
2022-04-01,France,FR,0.4
2022-07-01,France,FR,0.5
2022-10-01,France,FR,0.4
2023-01-01,France,FR,0.1
2023-04-01,France,FR,0.9
2023-07-01,France,FR,0.2
2023-10-01,France,FR,0.4
2024-01-01,France,FR,0.1
2024-04-01,France,FR,0.2
2024-07-01,France,FR,0.4
2024-10-01,France,FR,0.0
2025-01-01,France,FR,0.1
2025-04-01,France,FR,0.3
2025-07-01,France,FR,0.5
2025-10-01,France,FR,0.2
2015-01-01,Germany,DE,-0.2
2015-04-01,Germany,DE,0.5
2015-07-01,Germany,DE,0.5
2015-10-01,Germany,DE,0.5
2016-01-01,Germany,DE,0.9
2016-04-01,Germany,DE,0.2
2016-07-01,Germany,DE,0.4
2016-10-01,Germany,DE,0.5
2017-01-01,Germany,DE,1.3
2017-04-01,Germany,DE,0.7
2017-07-01,Germany,DE,0.8
2017-10-01,Germany,DE,1.0
2018-01-01,Germany,DE,-0.6
2018-04-01,Germany,DE,0.8
2018-07-01,Germany,DE,-0.7
2018-10-01,Germany,DE,0.4
2019-01-01,Germany,DE,0.7
2019-04-01,Germany,DE,0.1
2019-07-01,Germany,DE,0.4
2019-10-01,Germany,DE,-0.3
2020-01-01,Germany,DE,-2.0
2020-04-01,Germany,DE,-8.9
2020-07-01,Germany,DE,8.7
2020-10-01,Germany,DE,1.0
2021-01-01,Germany,DE,-0.6
2021-04-01,Germany,DE,2.4
2021-07-01,Germany,DE,0.1
2021-10-01,Germany,DE,0.5
2022-01-01,Germany,DE,0.7
2022-04-01,Germany,DE,0.2
2022-07-01,Germany,DE,0.3
2022-10-01,Germany,DE,-0.3
2023-01-01,Germany,DE,-0.5
2023-04-01,Germany,DE,-0.1
2023-07-01,Germany,DE,0.0
2023-10-01,Germany,DE,-0.3
2024-01-01,Germany,DE,-0.1
2024-04-01,Germany,DE,-0.3
2024-07-01,Germany,DE,0.0
2024-10-01,Germany,DE,0.2
2025-01-01,Germany,DE,0.4
2025-04-01,Germany,DE,-0.2
2025-07-01,Germany,DE,0.0
2025-10-01,Germany,DE,0.3
2015-01-01,Latvia,LV,1.2
2015-04-01,Latvia,LV,1.3
2015-07-01,Latvia,LV,1.7
2015-10-01,Latvia,LV,-0.3
2016-01-01,Latvia,LV,1.1
2016-04-01,Latvia,LV,0.3
2016-07-01,Latvia,LV,0.0
2016-10-01,Latvia,LV,1.2
2017-01-01,Latvia,LV,1.1
2017-04-01,Latvia,LV,0.5
2017-07-01,Latvia,LV,1.0
2017-10-01,Latvia,LV,0.8
2018-01-01,Latvia,LV,1.2
2018-04-01,Latvia,LV,1.4
2018-07-01,Latvia,LV,0.6
2018-10-01,Latvia,LV,0.9
2019-01-01,Latvia,LV,-0.2
2019-04-01,Latvia,LV,-0.3
2019-07-01,Latvia,LV,0.5
2019-10-01,Latvia,LV,-0.7
2020-01-01,Latvia,LV,-0.4
2020-04-01,Latvia,LV,-9.8
2020-07-01,Latvia,LV,10.5
2020-10-01,Latvia,LV,0.5
2021-01-01,Latvia,LV,0.2
2021-04-01,Latvia,LV,1.0
2021-07-01,Latvia,LV,5.8
2021-10-01,Latvia,LV,-0.1
2022-01-01,Latvia,LV,-0.4
2022-04-01,Latvia,LV,-0.3
2022-07-01,Latvia,LV,-0.1
2022-10-01,Latvia,LV,0.1
2023-01-01,Latvia,LV,0.1
2023-04-01,Latvia,LV,-1.2
2023-07-01,Latvia,LV,-0.3
2023-10-01,Latvia,LV,-0.6
2024-01-01,Latvia,LV,0.0
2024-04-01,Latvia,LV,0.6
2024-07-01,Latvia,LV,0.2
2024-10-01,Latvia,LV,0.4
2025-01-01,Latvia,LV,0.7
2025-04-01,Latvia,LV,0.4
2025-07-01,Latvia,LV,0.8
2025-10-01,Latvia,LV,0.6
2015-01-01,Lithuania,LT,0.9
2015-04-01,Lithuania,LT,1.0
2015-07-01,Lithuania,LT,1.1
2015-10-01,Lithuania,LT,0.1
2016-01-01,Lithuania,LT,-0.1
2016-04-01,Lithuania,LT,1.0
2016-07-01,Lithuania,LT,1.4
2016-10-01,Lithuania,LT,1.4
2017-01-01,Lithuania,LT,1.2
2017-04-01,Lithuania,LT,0.8
2017-07-01,Lithuania,LT,0.9
2017-10-01,Lithuania,LT,1.5
2018-01-01,Lithuania,LT,1.3
2018-04-01,Lithuania,LT,1.6
2018-07-01,Lithuania,LT,0.1
2018-10-01,Lithuania,LT,1.9
2019-01-01,Lithuania,LT,1.2
2019-04-01,Lithuania,LT,1.6
2019-07-01,Lithuania,LT,0.1
2019-10-01,Lithuania,LT,1.5
2020-01-01,Lithuania,LT,-0.4
2020-04-01,Lithuania,LT,-5.3
2020-07-01,Lithuania,LT,5.9
2020-10-01,Lithuania,LT,0.4
2021-01-01,Lithuania,LT,2.2
2021-04-01,Lithuania,LT,1.2
2021-07-01,Lithuania,LT,1.9
2021-10-01,Lithuania,LT,1.3
2022-01-01,Lithuania,LT,0.9
2022-04-01,Lithuania,LT,-1.4
2022-07-01,Lithuania,LT,1.1
2022-10-01,Lithuania,LT,-0.5
2023-01-01,Lithuania,LT,-0.3
2023-04-01,Lithuania,LT,1.6
2023-07-01,Lithuania,LT,0.3
2023-10-01,Lithuania,LT,-0.2
2024-01-01,Lithuania,LT,1.4
2024-04-01,Lithuania,LT,0.5
2024-07-01,Lithuania,LT,1.3
2024-10-01,Lithuania,LT,0.8
2025-01-01,Lithuania,LT,0.4
2025-04-01,Lithuania,LT,0.7
2025-07-01,Lithuania,LT,0.3
2025-10-01,Lithuania,LT,1.7
2015-01-01,Slovakia,SK,1.9
2015-04-01,Slovakia,SK,1.2
2015-07-01,Slovakia,SK,1.2
2015-10-01,Slovakia,SK,0.7
2016-01-01,Slovakia,SK,0.0
2016-04-01,Slovakia,SK,0.2
2016-07-01,Slovakia,SK,0.4
2016-10-01,Slovakia,SK,0.6
2017-01-01,Slovakia,SK,0.7
2017-04-01,Slovakia,SK,0.9
2017-07-01,Slovakia,SK,0.8
2017-10-01,Slovakia,SK,1.2
2018-01-01,Slovakia,SK,1.0
2018-04-01,Slovakia,SK,1.2
2018-07-01,Slovakia,SK,1.0
2018-10-01,Slovakia,SK,0.5
2019-01-01,Slovakia,SK,0.7
2019-04-01,Slovakia,SK,0.2
2019-07-01,Slovakia,SK,0.3
2019-10-01,Slovakia,SK,0.6
2020-01-01,Slovakia,SK,-2.3
2020-04-01,Slovakia,SK,-7.7
2020-07-01,Slovakia,SK,9.9
2020-10-01,Slovakia,SK,0.8
2021-01-01,Slovakia,SK,1.1
2021-04-01,Slovakia,SK,1.0
2021-07-01,Slovakia,SK,0.6
2021-10-01,Slovakia,SK,0.3
2022-01-01,Slovakia,SK,-0.3
2022-04-01,Slovakia,SK,-0.3
2022-07-01,Slovakia,SK,0.2
2022-10-01,Slovakia,SK,0.4
2023-01-01,Slovakia,SK,0.6
2023-04-01,Slovakia,SK,0.9
2023-07-01,Slovakia,SK,0.8
2023-10-01,Slovakia,SK,0.5
2024-01-01,Slovakia,SK,0.6
2024-04-01,Slovakia,SK,0.3
2024-07-01,Slovakia,SK,0.1
2024-10-01,Slovakia,SK,0.3
2025-01-01,Slovakia,SK,0.1
2025-04-01,Slovakia,SK,0.2
2025-07-01,Slovakia,SK,0.3
2025-10-01,Slovakia,SK,0.3
2015-01-01,Slovenia,SI,0.5
2015-04-01,Slovenia,SI,0.9
2015-07-01,Slovenia,SI,0.6
2015-10-01,Slovenia,SI,0.2
2016-01-01,Slovenia,SI,1.3
2016-04-01,Slovenia,SI,0.9
2016-07-01,Slovenia,SI,0.9
2016-10-01,Slovenia,SI,0.7
2017-01-01,Slovenia,SI,2.1
2017-04-01,Slovenia,SI,1.3
2017-07-01,Slovenia,SI,0.8
2017-10-01,Slovenia,SI,2.0
2018-01-01,Slovenia,SI,0.3
2018-04-01,Slovenia,SI,1.5
2018-07-01,Slovenia,SI,1.2
2018-10-01,Slovenia,SI,0.7
2019-01-01,Slovenia,SI,1.4
2019-04-01,Slovenia,SI,-0.1
2019-07-01,Slovenia,SI,1.1
2019-10-01,Slovenia,SI,0.2
2020-01-01,Slovenia,SI,-2.4
2020-04-01,Slovenia,SI,-9.9
2020-07-01,Slovenia,SI,11.6
2020-10-01,Slovenia,SI,-2.2
2021-01-01,Slovenia,SI,4.4
2021-04-01,Slovenia,SI,1.2
2021-07-01,Slovenia,SI,2.7
2021-10-01,Slovenia,SI,1.2
2022-01-01,Slovenia,SI,-0.1
2022-04-01,Slovenia,SI,0.7
2022-07-01,Slovenia,SI,-0.3
2022-10-01,Slovenia,SI,0.6
2023-01-01,Slovenia,SI,0.8
2023-04-01,Slovenia,SI,1.4
2023-07-01,Slovenia,SI,-0.1
2023-10-01,Slovenia,SI,0.8
2024-01-01,Slovenia,SI,1.0
2024-04-01,Slovenia,SI,-0.6
2024-07-01,Slovenia,SI,0.1
2024-10-01,Slovenia,SI,0.6
2025-01-01,Slovenia,SI,-0.6
2025-04-01,Slovenia,SI,0.9
2025-07-01,Slovenia,SI,0.9
2025-10-01,Slovenia,SI,0.4
